tanu,arrival_time_w1,w1_total_flow_first10s,h_step1,h_step2,h_step3,h_step4,h_step5,h_step6,h_step7,h_step8,h_step9,h_step10,v_step1,v_step2,v_step3,v_step4,v_step5,v_step6,v_step7,v_step8,v_step9,v_step10,f_step1,f_step2,f_step3,f_step4,f_step5,f_step6,f_step7,f_step8,f_step9,f_step10,arrival_time_w2,interval_w1_w2,w2_max_h,w2_max_v,w2_max_q,w2_total_flow
0.522200,7.752000,412.640000,1.351000,1.534000,1.552000,1.629000,1.566000,1.463000,1.425000,1.414000,1.298000,1.207000,6.289000,5.347000,4.701000,4.078000,3.483000,2.948000,2.633000,2.210000,1.832000,1.589000,67.990000,65.630000,58.350000,53.140000,43.640000,34.510000,30.020000,24.990000,19.020000,15.350000,24.100000,16.348000,0.496900,5.026000,22.570000,277.520000
0.544400,7.492000,376.390000,1.066000,1.369000,1.391000,1.554000,1.590000,1.444000,1.381000,1.353000,1.321000,1.267000,6.593000,5.632000,4.761000,4.055000,3.489000,2.789000,2.379000,1.925000,1.678000,1.344000,56.230000,61.660000,53.000000,50.430000,44.370000,32.230000,26.280000,20.840000,17.730000,13.620000,25.830000,18.338000,0.473400,4.755000,18.870000,206.530000
0.566700,7.184000,330.342000,0.765500,1.246000,1.329000,1.472000,1.417000,1.471000,1.429000,1.348000,1.214000,1.158000,6.425000,5.514000,4.755000,3.995000,3.326000,2.743000,2.307000,1.789000,1.338000,1.058000,39.350000,54.970000,50.540000,47.040000,37.700000,32.290000,26.370000,19.280000,13.000000,9.802000,26.510000,19.326000,0.358700,3.968000,12.200000,143.559000
0.588900,7.849000,260.831000,0.925200,1.181000,1.300000,1.385000,1.337000,1.319000,1.276000,1.256000,1.190000,1.124000,5.779000,4.745000,4.093000,3.468000,2.690000,2.084000,1.657000,1.188000,0.783500,0.567800,42.780000,44.840000,42.580000,38.430000,28.790000,22.000000,16.910000,11.940000,7.457000,5.104000,29.100000,21.251000,0.294300,3.433000,7.816000,75.120000
0.611100,8.435000,199.333000,0.931700,1.144000,1.321000,1.296000,1.200000,1.178000,1.164000,1.141000,1.077000,1.031000,5.043000,4.261000,3.531000,2.777000,2.036000,1.527000,1.057000,0.655500,0.423600,0.392600,37.580000,39.000000,37.310000,28.800000,19.540000,14.390000,9.842000,5.982000,3.649000,3.240000,32.860000,24.425000,0.186400,2.611000,3.796000,28.313000
0.633300,8.104000,166.564000,0.750400,0.962300,1.124000,1.144000,1.161000,1.191000,1.222000,1.141000,1.072000,1.058000,5.213000,4.180000,3.558000,2.757000,1.890000,1.415000,0.882500,0.417100,0.164500,0.119100,31.300000,32.180000,31.980000,25.220000,17.550000,13.480000,8.631000,3.805000,1.410000,1.008000,,,0.000000,0.000000,0.000000,0.000000
0.655600,8.496000,119.687800,0.715900,0.907100,0.991100,1.032000,0.967400,0.974500,0.971200,0.932000,0.926100,0.915700,4.585000,3.688000,2.995000,2.291000,1.495000,0.871100,0.420000,0.168200,0.063940,0.086820,26.260000,26.770000,23.750000,18.920000,11.570000,6.791000,3.263000,1.254000,0.473700,0.636100,,,0.000000,0.000000,0.000000,0.000000
0.677800,8.922000,85.377700,0.684900,0.835300,0.931500,0.929600,0.935700,0.907000,0.879700,0.865100,0.853000,0.855800,4.124000,3.224000,2.461000,1.730000,0.971300,0.240800,0.030890,0.035510,0.041860,0.038100,22.600000,21.540000,18.340000,12.870000,7.271000,1.747000,0.217400,0.245700,0.285700,0.260900,,,0.000000,0.000000,0.000000,0.000000
0.700000,8.527000,67.508510,0.518700,0.646100,0.717000,0.756000,0.768600,0.747800,0.730800,0.725600,0.718800,0.711300,4.150000,3.418000,2.533000,1.674000,0.965400,0.269100,0.014730,0.012690,0.014480,0.031540,17.220000,17.670000,14.530000,10.120000,5.936000,1.610000,0.086090,0.073640,0.083280,0.179500,,,0.000000,0.000000,0.000000,0.000000
0.500000,7.042000,494.640000,1.032000,1.640000,1.549000,1.577000,1.549000,1.551000,1.555000,1.475000,1.327000,1.275000,7.382000,6.253000,5.297000,4.811000,4.329000,3.830000,3.304000,2.914000,2.460000,2.214000,60.970000,82.010000,65.620000,60.690000,53.660000,47.520000,41.100000,34.380000,26.110000,22.580000,22.250000,15.208000,0.532900,5.622000,28.730000,360.140000
